scenario_id,subject,difficulty,trial_mode,mode,condition,seed,success,completion_time_sec,total_inputs,interactions,motion_tool_calls,mode_switches,direction_reversals,dropped_inputs,selection_perturbations,direction_perturbations,target_filtered_out,terminated_at_max_ticks,end_reason
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_high,1,1,5.5202,13,1,1,1,2,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_high,2,1,12.8492,43,1,1,1,5,0,0,11,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_high,3,1,9.9176,31,1,1,1,0,0,0,11,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,dir_high,4,1,5.5202,13,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_low,0,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_low,1,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_low,2,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_low,3,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_low,4,1,7.9974,13,5,2,1,0,0,2,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_high,0,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_high,1,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_high,2,1,5.5202,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_high,3,1,5.5202,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,sel_high,4,1,8.2417,13,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,compound_mid,0,1,9.0923,11,1,1,1,0,2,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,compound_mid,1,1,22.0713,34,1,1,1,2,3,0,7,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,compound_mid,2,1,8.8085,11,1,1,1,2,2,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,compound_mid,3,1,9.7011,12,1,1,1,0,1,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143630,s1,easy,manual,prime,compound_mid,4,1,15.1397,17,6,2,1,0,2,3,3,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,clean,0,1,6.4386,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,clean,1,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,clean,2,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,clean,3,1,6.4386,13,1,1,1,1,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,clean,4,1,6.4386,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_low,0,1,8.9178,21,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_low,1,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_low,2,1,7.6782,17,1,1,1,2,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_low,3,1,6.4386,13,1,1,1,1,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_low,4,1,6.4386,13,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_high,0,1,8.9178,21,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_high,1,1,7.6782,17,1,1,1,2,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_high,2,1,13.8762,37,1,1,1,6,0,0,11,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_high,3,1,6.4386,13,1,1,1,1,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,dir_high,4,1,6.4386,13,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_low,0,1,6.4386,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_low,1,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_low,2,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_low,3,1,6.4386,13,1,1,1,1,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_low,4,1,13.7772,17,11,3,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_high,0,1,6.4386,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_high,1,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_high,2,1,6.4386,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_high,3,1,6.4386,13,1,1,1,1,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,sel_high,4,1,8.2485,9,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,compound_mid,0,1,10.0107,11,1,1,1,0,2,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,compound_mid,1,1,24.5641,34,1,1,1,6,3,0,7,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,compound_mid,2,1,12.2569,14,1,1,1,2,3,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,compound_mid,3,1,15.5531,19,1,1,1,5,2,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143810,s1,easy,manual,prime,compound_mid,4,1,15.2285,13,11,3,1,0,0,5,2,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,clean,0,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,clean,1,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,clean,2,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,clean,3,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,clean,4,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_low,0,1,8.706,17,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_low,1,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
